"Fecha
de la Operación",Fecha de cargo,Descripción del movimiento,Monto
15-jul-2025, 18-jul-202,HEB PUERTA DE HIERRO SIH 9511279T7MX,+ $5.70
16-jul-2025, 17-jul-202,GAS OXXOCASTELLANA SGM 950714DC2,"+ $1,425.43"
16-jul-2025, 17-jul-202,TH FORUM LEONES TME170321L38MX,+ $99.00
16-jul-2025, 17-jul-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
16-jul-2025, 17-jul-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
16-jul-2025, 18-jul-202,OXXOESTACIONCASTEMTY CCO 8605231N4,+ $21.00
17-jul-2025, 18-jul-202,MERPAGO*BRAULIOMTZ MAG 2105031W3MX,+ $156.00
17-jul-2025, 18-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $76.00
17-jul-2025, 18-jul-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $14.00
18-jul-2025, 21-jul-202,CUMBRES III S D SIH 9511279T7MX,+ $325.00
18-jul-2025, 21-jul-202,CUMBRES III S D SIH 9511279T7MX,+ $226.20
18-jul-2025, 21-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $38.00
18-jul-2025, 21-jul-202,REST XINGFA SENDERO LI XFC 120720S47,+ $180.00
18-jul-2025, 21-jul-202,CARLS JR SENDERO LINCO JFO 901024SX4,+ $145.00
18-jul-2025, 21-jul-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $30.00
19-jul-2025, 21-jul-202,SEARS MONTERREY GALERI SOM 101125UEA,+ $199.00
19-jul-2025, 21-jul-202,SEARS MONTERREY GALERI SOM 101125UEA,"+ $1,079.00"
19-jul-2025, 21-jul-202,CARLS JR GONZALITOS JFO 901024SX4,+ $69.00
19-jul-2025, 21-jul-202,CARLS JR GONZALITOS JFO 901024SX4,+ $532.00
20-jul-2025, 21-jul-202,PANADERIA EL CASTANO SAOD900217G10MX,+ $82.00
20-jul-2025, 21-jul-202,LITTLE CAESA CUMBRES S PCA 0810272Y0MX,+ $20.00
20-jul-2025, 21-jul-202,SUPER ROMA SCC 120614MC1MX,+ $887.40
20-jul-2025, 21-jul-202,SUPER ROMA SCC 120614MC1MX,+ $90.89
20-jul-2025, 21-jul-202,REST CARBONERO CUMBRES JFR 150122C29MX,+ $238.00
20-jul-2025, 21-jul-202,OXXOMADEIRA MTY CCO 8605231N4,+ $36.00
20-jul-2025, 21-jul-202,HDM 1169 CUMBRES OEST HDM 001017AS1,+ $400.60
20-jul-2025, 21-jul-202,PC SAPI WEB PCA0810272Y0MX,+ $179.00
21-jul-2025, 22-jul-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $21.50
21-jul-2025, 22-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $44.00
22-jul-2025, 23-jul-202,MERPAGO*BRAULIOMTZ MAG 2105031W3MX,+ $169.00
22-jul-2025, 23-jul-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $78.50
22-jul-2025, 23-jul-202,7 ELEVEN T 2008 SEM 980701STA,+ $77.00
22-jul-2025, 23-jul-202,TCONE*ABARROTES MORE POMR771013000MX,+ $20.00
22-jul-2025, 23-jul-202,TCONE*ABARROTES MORE POMR771013000MX,+ $22.00
23-jul-2025, 24-jul-202,OXXOCITICA MTY CCO 8605231N4,+ $66.00
23-jul-2025, 24-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $69.50
23-jul-2025, 24-jul-202,MAS SUSHI MPA 180227JI6MX,+ $243.00
23-jul-2025, 24-jul-202,TCONE*ABARROTES MORE POMR771013000MX,+ $16.00
23-jul-2025, 25-jul-202,HEB PUERTA DE HIERRO SIH 9511279T7MX,+ $100.00
23-jul-2025, 25-jul-202,HEB GONZALITOS SIH 9511279T7MX,+ $154.90
23-jul-2025, 23-jul-202,SU ABONO... GRACIAS,"- $61,273.35"
24-jul-2025, 25-jul-202,MERPAGO*BRAULIOMTZ MAG 2105031W3MX,+ $104.00
24-jul-2025, 25-jul-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $21.50
24-jul-2025, 25-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $22.00
24-jul-2025, 25-jul-202,TCONE*ABARROTES MORE POMR771013000MX,+ $20.00
24-jul-2025, 25-jul-202,TCONE*ABARROTES MORE POMR771013000MX,+ $16.00
24-jul-2025, 28-jul-202,MARVAL PLAZA REAL MAVM700819J95,+ $16.00
25-jul-2025, 28-jul-202,CUMBRES III S D SIH 9511279T7MX,+ $144.90
25-jul-2025, 28-jul-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $77.00
25-jul-2025, 28-jul-202,CARLS JR SENDERO LINCO JFO 901024SX4,+ $145.00
25-jul-2025, 28-jul-202,CLIP MX*REST LOS DOGGY BLI 120726UF6MX,+ $250.00
26-jul-2025, 28-jul-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $67.00
26-jul-2025, 28-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $36.00
26-jul-2025, 28-jul-202,REST TAQUERIA KEYON SLK 120718B35,+ $150.00
26-jul-2025, 28-jul-202,PC SAPI WEB PCA0810272Y0MX,+ $129.00
26-jul-2025, 28-jul-202,TH FORUM LEONES TME170321L38MX,+ $191.00
26-jul-2025, 28-jul-202,COSTCO MONTERREY 2 CME 910715UB9MX,+ $580.89
26-jul-2025, 28-jul-202,D LOCAL*REST DIDIFOOD DMM 171208LT4MX,+ $189.74
27-jul-2025, 28-jul-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $156.00
27-jul-2025, 28-jul-202,REST CARBONERO CUMBRES JFR 150122C29MX,+ $70.00
27-jul-2025, 28-jul-202,D TOTA PARK POINT MTY CDC 130711RV2,+ $235.00
27-jul-2025, 28-jul-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $50.00
27-jul-2025, 28-jul-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $30.00
27-jul-2025, 29-jul-202,CUMBRES III S D SIH 9511279T7MX,"+ $1,127.00"
28-jul-2025, 29-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $56.00
28-jul-2025, 29-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $136.00
28-jul-2025, 29-jul-202,7 ELEVEN T 2008 SEM 980701STA,+ $38.00
28-jul-2025, 29-jul-202,TORILLERIA ADR AARE970816AH3,+ $104.00
29-jul-2025, 30-jul-202,TAQUERIA SIBER MEXICAN GARCIA NL MX,+ $220.00
29-jul-2025, 30-jul-202,7 ELEVEN T 2008 SEM 980701STA,+ $22.00
29-jul-2025, 30-jul-202,7 ELEVEN T 2008 SEM 980701STA,+ $21.50
29-jul-2025, 30-jul-202,TCONE*ABARROTES MORE POMR771013000MX,+ $16.00
29-jul-2025, 31-jul-202,CUMBRES III S D SIH 9511279T7MX,+ $129.00
30-jul-2025, 31-jul-202,OXXOCITICA MTY CCO 8605231N4,+ $33.00
30-jul-2025, 31-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $36.00
30-jul-2025, 31-jul-202,7 ELEVEN T 2008 SEM 980701STA,+ $22.00
30-jul-2025, 31-jul-202,TH FORUM LEONES TME170321L38MX,+ $89.00
30-jul-2025, 31-jul-202,TCONE*ABARROTES MORE POMR771013000MX,+ $16.00
31-jul-2025, 01-ago-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $22.00
31-jul-2025, 01-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $73.00
31-jul-2025, 01-ago-202,TCONE*ABARROTES MORE POMR771013000MX,+ $16.00
31-jul-2025, 04-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $156.00
31-jul-2025, 04-ago-202,HEB GONZALITOS SIH 9511279T7MX,+ $46.32
01-ago-2025, 01-ago-202,BANAMEX LIBRA PLUS,+ $240.00
01-ago-2025, 04-ago-202,HEB PUERTA DE HIERRO SIH 9511279T7MX,+ $73.32
01-ago-2025, 04-ago-202,OXXOVERONA MTY CCO 8605231N4,+ $14.00
01-ago-2025, 04-ago-202,MAS SUSHI MPA 180227JI6MX,+ $243.00
02-ago-2025, 04-ago-202,SMARTPY*ELITECINEMAS OCS 230228RG4MX,+ $482.00
02-ago-2025, 04-ago-202,COM RAP CHURCHS CHIK TRA 211027S44MX,+ $537.00
02-ago-2025, 04-ago-202,STRIPE *ELITE CINEMAS SPM 1410037E8MX,+ $330.00
02-ago-2025, 04-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $49.00
03-ago-2025, 04-ago-202,CARLS JR SENDERO LINCO JFO 901024SX4,+ $544.00
03-ago-2025, 04-ago-202,TH FORUM LEONES TME170321L38MX,+ $241.00
05-ago-2025, 06-ago-202,NETFLIX COM CR NME 110513PI3,+ $329.00
10-ago-2025, 11-ago-202,AT&T CR CNM 980114PI2,+ $616.47
02-sep-2025, 03-sep-202,GPO NAL PROV MODELO GNP9211244P0 MX,+ $567.54
04-ago-2025, 05-ago-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $21.50
04-ago-2025, 05-ago-202,GAS OXXOSAN AGUSTIN SGM 950714DC2,"+ $1,346.36"
05-ago-2025, 06-ago-202,APPLE.COM/BILL 866-712-7753 CA,+ $249.00
05-ago-2025, 11-ago-202,ELIMINACION DE CARGO NO RECONOCIDO,- $249.00
05-ago-2025, 22-ago-202,DEPOSITO ANULADO NO PROCEDE ACLARACION,+ $249.00
10-ago-2025, 11-ago-202,TOTAL PASS SAPI DE CV TPA 1806208Q6MX,+ $322.00
19-ago-2025, 20-ago-202,APPLE.COM/BILL 866 712 7753 CA,- $249.00
05-ago-2025, 05-ago-202,DON COLCHON CUMBRES 006 de 012,+ $485.73
05-ago-2025, 05-ago-202,ISHOP MIXUP CUMBRES MT 003 de 024,+ $479.00
14-ago-2025, 15-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $75.50
14-ago-2025, 15-ago-202,CARLS JR PARK POINT II JFO 901024SX4,+ $315.00
14-ago-2025, 15-ago-202,SERV AGUA DREN MTY CIB SAD560528572MX,+ $316.00
14-ago-2025, 18-ago-202,CIA MEX GAS 3 MGA 2708246H0MX,+ $100.00
15-ago-2025, 18-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $250.00
15-ago-2025, 18-ago-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $49.00
15-ago-2025, 18-ago-202,PC SAPI WEB PCA0810272Y0MX,+ $129.00
15-ago-2025, 18-ago-202,MAS SUSHI MPA 180227JI6MX,+ $223.00
16-ago-2025, 18-ago-202,TAQUERIA SIBER MEXICAN GARCIA NL MX,+ $263.00
16-ago-2025, 18-ago-202,CUMBRES III S D SIH 9511279T7MX,+ $90.00
16-ago-2025, 18-ago-202,DAIRY QUEEN PZA CUMBRE LNF 101201LP4MX,+ $84.00
16-ago-2025, 18-ago-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $22.00
16-ago-2025, 18-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $124.00
16-ago-2025, 18-ago-202,KIKAS SALON PISR790719JN0MX,+ $250.00
17-ago-2025, 18-ago-202,D TOTA PARK POINT MTY CDC 130711RV2,+ $230.00
17-ago-2025, 18-ago-202,OPLINEA*DONMACIZOCUMBR OLI 000404TT4MX,+ $229.95
18-ago-2025, 19-ago-202,COM RAP CHURCHS CHIK TRA 211027S44MX,+ $119.00
18-ago-2025, 19-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $55.00
18-ago-2025, 19-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $74.00
19-ago-2025, 20-ago-202,APPLE.COM/BILL 866-712-7753 CA,+ $249.00
19-ago-2025, 20-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $15.00
19-ago-2025, 20-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $21.50
19-ago-2025, 20-ago-202,D TOTA PARK POINT MTY CDC 130711RV2,+ $90.00
19-ago-2025, 20-ago-202,OXXO GAS FLETEROS SGM 950714DC2,"+ $1,400.56"
19-ago-2025, 20-ago-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $22.00
19-ago-2025, 20-ago-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
19-ago-2025, 21-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $189.00
19-ago-2025, 21-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $169.00
20-ago-2025, 21-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $65.00
20-ago-2025, 21-ago-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $37.00
20-ago-2025, 21-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $75.00
20-ago-2025, 21-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $121.00
20-ago-2025, 22-ago-202,CUMBRES III S D SIH 9511279T7MX,+ $110.90
21-ago-2025, 22-ago-202,BUFFALO CUMBRES 2 BFO 130320L38MX,+ $132.00
21-ago-2025, 22-ago-202,COM RAP CHURCHS CHIK TRA 211027S44MX,+ $184.00
21-ago-2025, 22-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $89.00
21-ago-2025, 22-ago-202,CARLS JR PARK POINT II JFO 901024SX4,+ $146.00
21-ago-2025, 22-ago-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $20.00
21-ago-2025, 22-ago-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
22-ago-2025, 25-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $405.00
22-ago-2025, 25-ago-202,TAQUERIA SIBER MEXICAN GARCIA NL MX,+ $118.00
22-ago-2025, 25-ago-202,CUMBRES III S D SIH 9511279T7MX,+ $115.50
22-ago-2025, 25-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $89.00
22-ago-2025, 25-ago-202,7ELEVEN T2674 VALLE CU SEM 980701STA,+ $22.50
22-ago-2025, 22-ago-202,SU ABONO...GRACIAS,"- $34,446.69"
23-ago-2025, 25-ago-202,ORTHOSTETICS 1 GORE7809278D7MX,+ $850.00
23-ago-2025, 25-ago-202,LITTLE CAESA CUMBRES S PCA 0810272Y0MX,+ $210.00
23-ago-2025, 25-ago-202,SUPER ROMA SCC 120614MC1MX,+ $902.06
23-ago-2025, 25-ago-202,CUMBRES III S D SIH 9511279T7MX,+ $47.96
23-ago-2025, 25-ago-202,CUMBRES III S D SIH 9511279T7MX,+ $101.40
23-ago-2025, 25-ago-202,7ELEVEN T1822 LEONESII SEM 980701STA,+ $24.00
23-ago-2025, 25-ago-202,RADIOBEAM GACA890321N33,+ $650.00
23-ago-2025, 25-ago-202,TH FORUM LEONES TME170321L38MX,+ $126.00
23-ago-2025, 25-ago-202,TH FORUM LEONES TME170321L38MX,+ $104.00
23-ago-2025, 25-ago-202,SUC PLAZA QU PLE 8708273Q0MX,+ $380.00
24-ago-2025, 25-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $156.00
24-ago-2025, 25-ago-202,REST CARBONERO CUMBRES JFR 150122C29MX,+ $70.00
25-ago-2025, 26-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $22.00
25-ago-2025, 26-ago-202,CARLS JR PARK POINT II JFO 901024SX4,+ $539.00
26-ago-2025, 27-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $49.00
26-ago-2025, 27-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $55.00
26-ago-2025, 27-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $28.00
27-ago-2025, 27-ago-202,CGO AUT CFE CFE370814QI0,"+ $3,179.00"
27-ago-2025, 28-ago-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $65.00
27-ago-2025, 28-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $50.50
27-ago-2025, 28-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $92.50
27-ago-2025, 28-ago-202,LUMEN CUMBRES ALU830902ST5MX,+ $120.00
27-ago-2025, 28-ago-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $30.00
27-ago-2025, 28-ago-202,MAS SUSHI MPA 180227JI6MX,+ $243.00
27-ago-2025, 31-ago-202,CUMBRES III S D SIH 9511279T7MX,+ $90.90
27-ago-2025, 31-ago-202,HEB PUERTA DE HIERRO SIH 9511279T7MX,+ $45.00
28-ago-2025, 29-ago-202,7 ELEVEN T 2008 SEM 980701STA,+ $98.50
28-ago-2025, 31-ago-202,CUMBRES III S D SIH 9511279T7MX,+ $53.82
29-ago-2025, 31-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $24.00
29-ago-2025, 31-ago-202,7 ELEVEN T1825 SEM 980701STA,+ $48.00
29-ago-2025, 31-ago-202,D TOTA PARK POINT MTY CDC 130711RV2,+ $255.00
29-ago-2025, 01-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $127.17
29-ago-2025, 01-sep-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $35.00
30-ago-2025, 01-sep-202,ABARR TAM SAL PUERTA D TSJ 900605LU5MX,+ $489.00
30-ago-2025, 01-sep-202,COSTCO MONTERREY 2 CME 910715UB9MX,+ $219.94
30-ago-2025, 01-sep-202,SUC PLAZA QU PLE 8708273Q0MX,+ $485.00
31-ago-2025, 01-sep-202,CARLS JR PARK POINT II JFO 901024SX4,+ $527.00
31-ago-2025, 02-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $71.10
01-sep-2025, 02-sep-202,TH FORUM LEONES TME170321L38MX,+ $178.00
02-sep-2025, 03-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $60.50
02-sep-2025, 03-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $55.00
02-sep-2025, 03-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $49.50
02-sep-2025, 03-sep-202,TCONE*ABARROTES MORE POMR771013000MX,+ $16.00
03-sep-2025, 03-sep-202,BANAMEX LIBRA PLUS,+ $240.00
03-sep-2025, 04-sep-202,TH PUERTA DE HIERRO TME 170321L38,+ $59.00
03-sep-2025, 04-sep-202,TH PUERTA DE HIERRO TME 170321L38,+ $84.00
03-sep-2025, 04-sep-202,TH PUERTA DE HIERRO TME 170321L38,+ $89.00
03-sep-2025, 04-sep-202,BENA330598PTA D HIERRO FBE 9110215Z3,+ $125.80
03-sep-2025, 04-sep-202,GAS OXXOCASTELLANA SGM 950714DC2,"+ $1,374.29"
05-sep-2025, 08-sep-202,NETFLIX CR NME 110513PI3MX,+ $329.00
11-sep-2025, 12-sep-202,AT&T CR CNM 980114PI2,+ $616.47
01-oct-2025, 02-oct-202,GPO NAL PROV MODELO GNP9211244P0 MX,+ $567.54
10-sep-2025, 11-sep-202,TOTAL PASS SAPI DE CV TPA 1806208Q6MX,+ $322.00
04-sep-2025, 05-sep-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $62.00
04-sep-2025, 05-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $132.00
04-sep-2025, 05-sep-202,MI ATT APP PAQ DAT CNM 980114PI2MX,+ $99.00
04-sep-2025, 05-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $20.00
04-sep-2025, 08-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $169.00
04-sep-2025, 08-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $112.90
05-sep-2025, 05-sep-202,DON COLCHON CUMBRES 007 de 012,+ $485.73
05-sep-2025, 05-sep-202,ISHOP MIXUP CUMBRES MT 004 de 024,+ $479.00
05-sep-2025, 08-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $78.00
05-sep-2025, 08-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $250.00
05-sep-2025, 08-sep-202,WEST HEIGHTS INTE S CR CIA 0304031N2MX,"+ $12,550.00"
05-sep-2025, 08-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $49.90
05-sep-2025, 08-sep-202,OXXO VLLE D CUMBRE MTY CCO 8605231N4,+ $69.50
05-sep-2025, 08-sep-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $22.00
05-sep-2025, 08-sep-202,TORTILLERIA ADR AARE970816AH3,+ $144.00
06-sep-2025, 08-sep-202,7 ELEVEN T2575 CUMBRES SEM 980701STA,+ $22.50
06-sep-2025, 08-sep-202,TH FORUM LEONES TME170321L38MX,+ $195.00
06-sep-2025, 08-sep-202,COSTCO MONTERREY 2 CME 910715UB9MX,+ $107.39
06-sep-2025, 08-sep-202,COSTCO MONTERREY 2 CME 910715UB9MX,+ $386.39
06-sep-2025, 08-sep-202,MAS SUSHI MPA 180227JI6MX,+ $149.00
06-sep-2025, 08-sep-202,TAQUERIA KEYON SLK 120718B35MX,+ $160.00
07-sep-2025, 08-sep-202,COM RAP CHURCHS CHIK TRA 211027S44MX,+ $368.98
07-sep-2025, 08-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $76.00
07-sep-2025, 09-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $227.12
08-sep-2025, 09-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $104.00
08-sep-2025, 09-sep-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $33.00
08-sep-2025, 09-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $41.00
09-sep-2025, 10-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $50.00
09-sep-2025, 10-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $22.00
09-sep-2025, 10-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
09-sep-2025, 10-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $20.00
09-sep-2025, 10-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $24.00
09-sep-2025, 10-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
10-sep-2025, 11-sep-202,TH PUERTA DE HIERRO TME 170321L38,+ $66.00
10-sep-2025, 11-sep-202,TH PUERTA DE HIERRO TME 170321L38,+ $84.00
10-sep-2025, 11-sep-202,OXXOCITICA MTY CCO 8605231N4,+ $45.00
10-sep-2025, 11-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $77.00
11-sep-2025, 12-sep-202,POLLO MATON S LAZARO C FCI 121019646MX,+ $106.00
11-sep-2025, 12-sep-202,OXXOCITICA MTY CCO 8605231N4,+ $27.00
11-sep-2025, 12-sep-202,7 ELEVEN T2773 LINCES SEM 980701STA,+ $68.50
